accession,description,seq_length
AF243039.1,"AF243039.1 Human mammary tumor virus SAG pseudogene, complete sequence",2562
AF266287.1,"AF266287.1 Measles virus strain Edmonston (Moraten vaccine), complete genome",15894
AF291073.1,"AF291073.1 Torque teno mini virus 8 isolate PB4TL, complete genome",2910
AF308811.1,"AF308811.1 Bovine adenovirus 2 fiber protein and 17K protein genes, complete cds",2496
AF339481.1,"AF339481.1 Una virus strain BeAr 13136 nonstructural protein 4 gene, partial cds; and structural polyprotein precursor, gene, complete cds",4915
AF356697.1,"AF356697.1 Porcine endogenous retrovirus class E clone P14.1, complete genome",8072
AF391797.1,"AF391797.1 Primate T-lymphotropic virus 3 long terminal repeat, complete sequence; gag polyprotein (gag) gene, complete cds; protease and polymerase (pol) genes, partial cds; and rex protein (rex) and tax protein (tax) genes, complete cds",8918
AF398391.1,"AF398391.1 Babanki virus glycoprotein (E1) mRNA, partial cds",1005
AF411814.1,"AF411814.1 Amphotropic murine leukemia virus strain 1313, complete genome",8217
AF414373.2,"AF414373.2 Enterovirus J strain N203, complete genome",7379
AF438165.1,"AF438165.1 Camelpox virus M-96 from Kazakhstan, complete genome",205719
AF482711.1,"AF482711.1 Hantavirus sp. strain Hu39694 segment S, complete sequence",1897
AF482712.1,"AF482712.1 Hantavirus sp. strain Andes 9718133 segment S, complete sequence",1867
AF523844.1,"AF523844.1 Human enteric coronavirus 4408 p28 gene, partial cds",948
AF531420.1,"AF531420.1 Human papillomavirus type 92, complete genome",7461
AF538689.1,"AF538689.1 Ljungan virus M1146 polyprotein gene, complete cds",7495
AJ616854.1,"AJ616854.1 Saaremaa virus, segment S, S gene for nucleocapsid protein, complete sequence, genomic RNA",1673
AP012285.1,"AP012285.1 Human adenovirus 65 DNA, complete genome, strain: BGD/2004/B172/[P58/H10/F9]",35172
AP012302.1,"AP012302.1 Human adenovirus 67 DNA, complete genome, strain: BGD/2005/B109/[P67/H9/F67]",35075
AX174942.1,AX174942.1 Sequence 1 from Patent WO0142299,3847
AY016386.1,"AY016386.1 Human rhinovirus 17 polyprotein gene, partial cds",480
AY052822.1,"AY052822.1 SEN virus patient 5 clone a ORF1 gene, partial cds",182
AY052823.1,"AY052823.1 SEN virus patient 8 clone b ORF1 gene, partial cds",182
AY052824.1,"AY052824.1 SEN virus patient 6 clone b ORF1 gene, partial cds",178
AY094091.1,"AY094091.1 Human astrovirus type 7 strain SA/DW2_P7/1999 capsid protein precursor, gene, partial cds",217
AY170387.1,"AY170387.1 HIV-like human cancer virus cancer-associated protein RAK alpha (RAK alpha) gene, partial cds",141
AY170388.1,"AY170388.1 HIV-like human cancer virus cancer-associated protein RAK alpha (RAK alpha) gene, partial cds",141
AY170389.1,"AY170389.1 HIV-like human cancer virus cancer-associated protein RAK alpha (RAK alpha) gene, partial cds",141
AY208119.2,"AY208119.2 Human enterovirus 77 polyprotein gene, partial cds",2583
AY208746.1,"AY208746.1 Human endogenous retrovirus HCML-ARV, complete genome",8412
AY237422.3,"AY237422.3 Sapovirus Mc114, complete genome",7429
AY241616.2,"AY241616.2 Influenza A virus (A/duck/PA/143585/2001(H7N3)) matrix protein 2 and matrix protein 1 genes, complete cds",1027
AY241641.1,"AY241641.1 Influenza A virus (A/chicken/New York/14714-9/1999(H7N3)) segment 8 nonstructural protein 2 and nonstructural protein 1 genes, complete cds",846
AY253325.1,"AY253325.1 Tanapox virus TNF-alpha binding protein 2L gene, complete cds",1017
AY278554.2,"AY278554.2 SARS coronavirus CUHK-W1, complete genome",29736
AY304468.1,"AY304468.1 Human astrovirus type 7 T7/US/CN486/1999 capsid protein precursor, gene, partial cds",280
AY350750.1,"AY350750.1 SARS coronavirus PUMC01, complete genome",29738
AY355186.1,"AY355186.1 Human rhinovirus 5 VP1 capsid protein gene, partial cds",864
AY355198.1,"AY355198.1 Human rhinovirus 17 VP1 capsid protein gene, partial cds",888
AY355207.1,"AY355207.1 Human rhinovirus 26 VP1 capsid protein gene, partial cds",861
AY355231.1,"AY355231.1 Human rhinovirus 50 VP1 capsid protein gene, partial cds",861
AY355255.1,"AY355255.1 Human rhinovirus 74 VP1 capsid protein gene, partial cds",861
AY355271.1,"AY355271.1 Human rhinovirus 90 VP1 capsid protein gene, partial cds",855
AY355276.1,"AY355276.1 Human rhinovirus 95 VP1 capsid protein gene, partial cds",852
AY355277.1,"AY355277.1 Human rhinovirus 96 VP1 capsid protein gene, partial cds",867
AY355280.1,"AY355280.1 Human rhinovirus 99 VP1 capsid protein gene, partial cds",864
AY357075.1,"AY357075.1 SARS coronavirus PUMC02, complete genome",29738
AY357076.1,"AY357076.1 SARS coronavirus PUMC03, complete genome",29745
AY394850.2,"AY394850.2 SARS coronavirus WHU, complete genome",29728
AY436656.1,"AY436656.1 Human rhinovirus 50 polymerase (3D) mRNA, partial cds",468
AY436683.1,"AY436683.1 Human rhinovirus 95 polymerase (3D) mRNA, partial cds",468
AY436687.1,"AY436687.1 Human rhinovirus 17 polymerase (3D) mRNA, partial cds",468
AY436703.1,"AY436703.1 Human rhinovirus 26 polymerase (3D) mRNA, partial cds",468
AY436704.1,"AY436704.1 Human rhinovirus 99 polymerase (3D) mRNA, partial cds",468
AY485642.1,"AY485642.1 Human calicivirus NLV/GII/Langen1061/2002/DE, complete genome",7558
AY509990.1,"AY509990.1 Human adenovirus type 3+7 strain Takeuchi E3 7.7K ORF-like gene, complete sequence",155
AY518894.1,"AY518894.1 Human group 1 coronavirus associated with pneumonia, complete genome",27555
AY536757.3,"AY536757.3 SARS coronavirus BJ01 spike protein mRNA, partial cds",569
AY536759.3,"AY536759.3 SARS coronavirus BJ01 membrane protein mRNA, complete cds",782
AY536760.3,"AY536760.3 SARS coronavirus BJ01 nucleocapsid protein mRNA, complete cds",1669
AY552598.1,"AY552598.1 Heron hepatitis B virus isolate D preS/S protein gene, complete cds",1008
AY581254.1,"AY581254.1 Human calicivirus Hu/NLV/Oxford/B5S22/2003/UK, complete genome",7558
AY587983.1,"AY587983.1 Norovirus Hu/NLV/Oxford/B4S2/2002/UK, complete genome",7558
AY587984.1,"AY587984.1 Norovirus Hu/NLV/Oxford/B4S5/2002/UK, complete genome",7558
AY587985.1,"AY587985.1 Norovirus Hu/NLV/Oxford/B4S6/2002/UK, complete genome",7558
AY587986.1,"AY587986.1 Norovirus Hu/NLV/Oxford/B4S4/2002/UK, complete genome",7558
AY587987.1,"AY587987.1 Norovirus Hu/NLV/Oxford/B4S7/2002/UK, complete genome",7558
AY587988.1,"AY587988.1 Norovirus Hu/NLV/Oxford/B4S1/2002/UK, complete genome",7558
AY587989.1,"AY587989.1 Norovirus Hu/NLV/Oxford/B2S16/2002/UK, complete genome",7558
AY622909.1,"AY622909.1 Small anellovirus 2, complete genome",2635
AY705791.1,"AY705791.1 Borna disease virus rescue plasmid pBRT7-HrBDVc, complete sequence",12833
AY705792.1,"AY705792.1 Borna disease virus rescue plasmid pBRT7-HrBDVnc, complete sequence",12829
AY740629.1,"AY740629.1 Araucaria virus strain HPR/03-97 nucleocapsid protein gene, complete cds",1904
AY740630.1,"AY740630.1 Araucaria virus strain HPR/03-99 nucleocapsid protein gene, complete cds",1904
AY740633.1,"AY740633.1 Araucaria virus strain HPR/04-102 nucleocapsid protein gene, complete cds",1904
AY741811.1,"AY741811.1 Norovirus Hu/NLV/Dresden174/pUS-NorII/1997/GE, complete genome",7555
AY780250.1,"AY780250.1 Human adenovirus type 46 DNA polymerase gene, partial cds",232
AY780254.1,"AY780254.1 Human adenovirus type 50 DNA polymerase gene, partial cds",230
AY843311.1,"AY843311.1 Human enterovirus 82 strain OMA98-10391, partial genome",2583
AY843312.1,"AY843312.1 Human enterovirus 86 strain BAN99-10356, partial genome",2553
AY864805.1,"AY864805.1 SARS coronavirus BJ162, complete genome",29751
AY864806.1,"AY864806.1 SARS coronavirus BJ202, complete genome",29751
BK010702.1,"BK010702.1 TPA_asm: Quebec polyomavirus isolate QPyV, complete genome",4973
BK012037.1,"BK012037.1 TPA_asm: Molluscum contagiosum virus isolate MCV1_MET2101, complete genome",184723
BK012038.1,"BK012038.1 TPA_asm: Molluscum contagiosum virus isolate MCV1_MET2102, complete genome",184720
BK057806.1,"BK057806.1 MAG TPA_asm: Adintovirus sp. isolate cth614, partial genome",17125
BK059143.1,BK059143.1 MAG TPA_asm: Adintovirus sp. isolate ctC5m11 genomic sequence,16748
BK066309.1,BK066309.1 MAG TPA_asm: Adintovirus homo3926 isolate Adinto3926 genomic sequence,7975
BK066312.1,BK066312.1 MAG TPA_asm: Spiretrovirus drosophila8663 isolate Spiretro8663 genomic sequence,8663
BK066315.1,BK066315.1 MAG TPA_asm: Anellovirus homo2849 isolate Anello2849 genomic sequence,2849
BK066346.1,BK066346.1 MAG TPA_asm: Papillomavirus homo7570 isolate Papilloma7570 genomic sequence,7429
BK066363.1,BK066363.1 MAG TPA_asm: Papillomavirus homo7334 isolate Papilloma7334 genomic sequence,7193
BK066395.1,BK066395.1 MAG TPA_asm: Papillomavirus homo8923 isolate Papilloma8923 genomic sequence,7260
BK066396.1,BK066396.1 MAG TPA_asm: Anellovirus homo2947 isolate Anello2947 genomic sequence,2833
BK066413.1,BK066413.1 MAG TPA_asm: Adenovirus homo5 isolate Adeno5 genomic sequence,4395
BK066415.1,BK066415.1 MAG TPA_asm: Papillomavirus homo7269 isolate Papilloma7269 genomic sequence,7128
BK066419.1,BK066419.1 MAG TPA_asm: Cressvirus homo3817 isolate Cress3817 genomic sequence,3676
BK066423.1,BK066423.1 MAG TPA_asm: Parvovirus homo5049 isolate Parvo5049 genomic sequence,4865
BK066454.1,BK066454.1 MAG TPA_asm: Polyomavirus homo2808 isolate Polyoma2808 genomic sequence,4697
BK066467.1,BK066467.1 MAG TPA_asm: Adintovirus homo13306 isolate Adinto13306 genomic sequence,12888
BK066485.1,BK066485.1 MAG TPA_asm: Papillomavirus homo7372 isolate Papilloma7372 genomic sequence,7253
BK066533.1,BK066533.1 MAG TPA_asm: Parvovirus homo5445 isolate Parvo5445 genomic sequence,5445
BK066567.1,BK066567.1 MAG TPA_asm: Adintovirus homo3309 isolate Adinto3309 genomic sequence,12914
BK066571.1,BK066571.1 MAG TPA_asm: Anellovirus homo2945 isolate Anello2945 genomic sequence,3202
BK066572.1,BK066572.1 MAG TPA_asm: Cressvirus homo3695 isolate Cress3695 genomic sequence,3554
BK066577.1,BK066577.1 MAG TPA_asm: Parvovirus homo6198 isolate Parvo6198 genomic sequence,5837
BK066582.1,BK066582.1 MAG TPA_asm: Spiretrovirus homo8708 isolate Spiretro8708 genomic sequence,8708
BK066599.1,BK066599.1 MAG TPA_asm: Adintovirus homo12135 isolate Adinto12135 genomic sequence,14290
BK066600.1,BK066600.1 MAG TPA_asm: Adintovirus homo9228 isolate Adinto9228 genomic sequence,14768
BK066620.1,BK066620.1 MAG TPA_asm: Adintovirus homo7556 isolate Adinto7556 genomic sequence,12641
BK066647.1,BK066647.1 MAG TPA_asm: Papillomavirus homo7424 isolate Papilloma7424 genomic sequence,7283
BK066655.1,BK066655.1 MAG TPA_asm: Anellovirus homo2917 isolate Anello2917 genomic sequence,2879
BK066659.1,BK066659.1 MAG TPA_asm: Papillomavirus homo7350 isolate Papilloma7350 genomic sequence,7209
BK066694.1,BK066694.1 MAG TPA_asm: Polyomavirus homo4540 isolate Polyoma4540 genomic sequence,4712
BK066697.1,BK066697.1 MAG TPA_asm: Papillomavirus homo7221 isolate Papilloma7221 genomic sequence,7102
BK066703.1,BK066703.1 MAG TPA_asm: Spiretrovirus homo8524 isolate Spiretro8524 genomic sequence,8556
BK066715.1,BK066715.1 MAG TPA_asm: Parvovirus homo3140 isolate Parvo3140 genomic sequence,4987
BK066741.1,BK066741.1 MAG TPA_asm: Adintovirus homo5616 isolate Adinto5616 genomic sequence,12896
BK066745.1,BK066745.1 MAG TPA_asm: Parvovirus homo4417 isolate Parvo4417 genomic sequence,4417
BK066821.1,BK066821.1 MAG TPA_asm: Meldvirus homo7112 isolate Meld7112 genomic sequence,23629
BK066875.1,BK066875.1 MAG TPA_asm: Parvovirus homo3396 isolate Parvo3396 genomic sequence,3684
BK066879.1,BK066879.1 MAG TPA_asm: Adintovirus homo5308 isolate Adinto5308 genomic sequence,13990
BK066886.1,BK066886.1 MAG TPA_asm: Maldvirus fossil29388 isolate Mald29388 genomic sequence,29388
BK066887.1,BK066887.1 MAG TPA_asm: Cressvirus homo2464 isolate Cress2464 genomic sequence,2323
BK066896.1,BK066896.1 MAG TPA_asm: Papillomavirus homo7299 isolate Papilloma7299 genomic sequence,7222
BK068984.1,"BK068984.1 TPA_asm: Human cyclovirus strain k99-746, complete genome",1725
BK068985.1,"BK068985.1 TPA_asm: Human cyclovirus strain k79-101, complete genome",1728
BK068986.1,"BK068986.1 TPA_asm: Human cyclovirus strain k99_603, complete genome",1873
BK069132.1,BK069132.1 MAG TPA_asm: Hetorquevirus sp. isolate SRR2037083_NODE_2038 genomic sequence,2150
CS148334.1,CS148334.1 Sequence 657 from Patent WO2005076010,3768
D10032.1,"D10032.1 Baboon endogenous virus strain M7 proviral DNA, complete genome",8507
D10082.1,"D10082.1 Human herpesvirus 6 SHL1, SHL2, SHL3, SSL1, SSL2, SFL1, SFL2, SFR1 genes, partial and complete cds",10079
D11134.1,"D11134.1 Human herpesvirus 6 genes encoding Rep protein homologue and US22 gene family product homologue, partial and complete cds",12051
DI392816.1,DI392816.1 KR 1020140010093-A/35: KIT AND METHOD FOR SEQUENCING A TARGET DNA IN A MIXED POPULATION,36
DJ087072.1,DJ087072.1 COMPUTATIONAL METHOD FOR IDETIFYING ADHESIN,3768
DQ021547.1,"DQ021547.1 Influenza A virus (A/blue-winged teal/TX/11/01(H7N4)) nonstructural protein gene, complete cds",846
DQ021615.1,"DQ021615.1 Influenza A virus (A/ruddy turnstone/NJ/1143/00(H10N7)) nonstructural protein gene, complete cds",846
DQ058829.1,"DQ058829.1 Sapovirus Ehime1107/2002/JP, complete genome",7427
DQ080082.1,"DQ080082.1 Human papillomavirus type 106, complete genome",8035
DQ080083.1,"DQ080083.1 Human papillomavirus type 102, complete genome",8078
DQ115422.1,"DQ115422.1 Human adenovirus type 23 hexon protein gene, partial cds",699
DQ115423.1,"DQ115423.1 Human adenovirus type 24 hexon protein gene, partial cds",720
DQ115424.1,"DQ115424.1 Human adenovirus type 25 hexon protein gene, partial cds",729
DQ115433.1,"DQ115433.1 Human adenovirus type 33 hexon protein gene, partial cds",723
DQ115444.1,"DQ115444.1 Human adenovirus type 43 hexon protein gene, partial cds",735
DQ115445.1,"DQ115445.1 Human adenovirus type 44 hexon protein gene, partial cds",720
DQ115447.1,"DQ115447.1 Human adenovirus type 46 hexon protein gene, partial cds",723
DQ115448.1,"DQ115448.1 Human adenovirus type 47 hexon protein gene, partial cds",735
DQ115449.1,"DQ115449.1 Human adenovirus type 48 hexon protein gene, partial cds",747
DQ115450.1,"DQ115450.1 Human adenovirus type 49 hexon protein gene, partial cds",726
DQ115452.1,"DQ115452.1 Human adenovirus type 50 hexon protein gene, partial cds",726
DQ115453.1,"DQ115453.1 Human adenovirus type 51 hexon protein gene, partial cds",732
DQ187006.1,"DQ187006.1 Torque teno virus 9 clone BM1C-18 ORF2 (ORF2) gene, complete cds; and nonfunctional ORF1 (ORF1) gene, complete sequence",3064
DQ231462.2,"DQ231462.2 SARS coronavirus ZJ02 spike glycoprotein gene, complete cds",3768
DQ235145.1,"DQ235145.1 Gadgets Gully virus from Australia polyprotein gene, complete cds",10251
DQ324838.1,"DQ324838.1 Avian nephritis virus 1 NC-SEP-A670-05 polymerase gene, partial cds",513
DQ369797.1,"DQ369797.1 Norovirus Hu/Guangzhou/NVgz01/CHN, complete genome",7558
DQ375464.1,"DQ375464.1 Human adenovirus type 15 penton gene, partial cds",926
DQ375468.1,"DQ375468.1 Human adenovirus type 23 penton gene, partial cds",919
DQ375469.1,"DQ375469.1 Human adenovirus type 24 penton gene, partial cds",920
DQ375470.1,"DQ375470.1 Human adenovirus type 25 penton gene, partial cds",930
DQ375474.1,"DQ375474.1 Human adenovirus type 29 penton gene, partial cds",931
DQ375476.1,"DQ375476.1 Human adenovirus type 33 penton gene, partial cds",919
DQ375480.1,"DQ375480.1 Human adenovirus type 42 penton gene, partial cds",928
DQ375481.1,"DQ375481.1 Human adenovirus type 43 penton gene, partial cds",936
DQ375482.1,"DQ375482.1 Human adenovirus type 44 penton gene, partial cds",937
DQ375484.1,"DQ375484.1 Human adenovirus type 47 penton gene, partial cds",921
DQ375485.1,"DQ375485.1 Human adenovirus type 48 penton gene, partial cds",926
DQ375486.1,"DQ375486.1 Human adenovirus type 49 penton gene, partial cds",938
DQ375487.1,"DQ375487.1 Human adenovirus type 51 penton gene, partial cds",952
DQ456824.1,"DQ456824.1 Norovirus Hu/MK04/2004/JP, complete genome",7536
DQ473487.1,"DQ473487.1 Rhinovirus B35, complete genome",7224
DQ473494.1,"DQ473494.1 Rhinovirus A74, complete genome",7120
DQ640652.1,"DQ640652.1 SARS coronavirus GDH-BJH01, complete genome",29746
DQ778300.1,"DQ778300.1 Human bocavirus WLL-1, complete genome",5297
DQ859056.1,"DQ859056.1 Banzi virus strain SAH 336 polyprotein gene, complete cds",10182
DQ859057.1,"DQ859057.1 Bouboui virus strain DAK AR B490 polyprotein gene, complete cds",10173
DQ859060.1,"DQ859060.1 Edge Hill virus strain YMP 48 polyprotein gene, complete cds",10206
DQ859065.1,"DQ859065.1 Uganda S virus polyprotein gene, complete cds",10182
EF108306.2,"EF108306.2 Hepatitis C virus QC69 subtype 7a, complete genome",9443
